ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime,ai_verdict,ai_confidence,ai_reasoning,entry_price,stop_loss,exit_price,risk_pct,reward_pct,entry_timing
EXPN.L,EXPERIAN PLC ORD USD0.10,51.8,⭐ AVERAGE,🟡 Average,55.0,50.0,30.0,65.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 17.1},{},"{'rs_3m': -17.7, 'rs_6m': -24.7}","{'roe_pct': 26.8, 'debt_to_equity': 1.05, 'current_ratio': 0.68, 'operating_margin_pct': 24.9}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 57.1}",2651.5,23833831424,Industrials,Consulting Services,,,False,4101.0,-35.3,1.0,False,4166.32,4684.43,2865.72,18.0,strong_buy,57.1,62.14,-97.7,33.6,-98.7,5.52,1.47,1.83,42.5,0.47,1.36,,,,36.0,42.0,2026-05-20,False,False,5.0,NEUTRAL,5.96,493.1,0.49,2026-04-08T11:00:53.715809,FTSE100,54.7,6.0,5.0,0.0,5.0,7.14,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, reasonable debt, and upside potential validated by 18 analysts",2614.64,2434.32,3832.04,6.9,46.56,BUY ON PULLBACK - Wait for 2-5% dip
RHM.DE,RHEINMETALL AG                I,72.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,100.0,50.0,50.0,85.0,70.0,,,,,686.9,True,1,5.0,False,0,"{'eps_growth_yoy': 686.9, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 7.0}","{'revenue_growth_yoy': 5.0, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -10.9, 'rs_6m': -18.9}","{'roe_pct': 23.3, 'debt_to_equity': 0.23, 'current_ratio': 1.2, 'operating_margin_pct': 16.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 30.5}",1567.0,72510783488,Industrials,Aerospace & Defense,,,False,2008.0,-22.0,1.0,False,2044.29,2500.0,1480.0,21.0,buy,30.5,384.32,-75.5,223.0,-85.8,1.35,21.17,0.73,36.3,11.5,1.35,False,,14.6,,29.0,2026-05-07,False,False,5.0,NEUTRAL,2.37,40.9,0.62,2026-04-08T10:59:33.509487,DAX40,54.9,0.0,0.0,0.0,0.0,3.81,3.0,15.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with ROE > 10%, margin > 5%, and debt/equity ratio < 2x, combined with analyst validation and realistic upside potential.",1452.16,1335.99,2009.69,8.0,38.39,BUY ON PULLBACK - Wait for 2-5% dip
MTX.DE,MTU Aero Engines AG           N,57.5,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,80.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 11.6},{},"{'rs_3m': -9.6, 'rs_6m': -13.1}","{'roe_pct': 26.3, 'debt_to_equity': 0.55, 'current_ratio': 1.44, 'operating_margin_pct': 13.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 24.8}",335.9,18081957888,Industrials,Aerospace & Defense,,,False,404.8,-17.0,1.0,False,419.16,505.0,334.0,19.0,buy,24.8,29.15,-91.3,567.3,68.9,0.2,0.69,1.14,11.6,3.6,0.91,,,,66.5,22.0,2026-04-30,False,False,3.0,NEUTRAL,,,0.17,2026-04-08T10:59:14.932307,DAX40,58.0,0.0,0.0,0.0,5.0,3.1,3.0,15.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, reasonable debt, and analyst validation with 19 analysts",327.22,301.04,431.88,8.0,31.98,BUY ON PULLBACK - Wait for 2-5% dip
PGHN.SW,PARTNERS GROUP N,60.2,⭐⭐ GOOD,🟡 Good,60.0,50.0,50.0,85.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 49.3},{},"{'rs_3m': -6.1, 'rs_6m': -13.2}","{'roe_pct': 54.8, 'debt_to_equity': 1.14, 'current_ratio': 1.67, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 35.6}",897.2,23132628992,Financial Services,Asset Management,,,False,1205.0,-25.5,1.0,False,1216.83,1330.0,930.0,12.0,buy,35.6,1070.36,19.3,533.17,-40.6,5.81,52.13,5.31,86.7,46.0,3.29,,,,7.7,146.0,2026-09-01,False,False,7.0,NEUTRAL,6.56,75.9,1.33,2026-04-08T11:08:26.054118,SMI20,51.1,6.0,0.0,0.0,3.0,4.45,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, reasonable debt, and upside potential validated by multiple analysts",876.51,806.39,1190.24,8.0,35.79,BUY ON PULLBACK - Wait for 2-5% dip
AMS.MC,"AMADEUS IT GROUP, S.A.",47.5,⚠️ WEAK,🔴 Weak,55.0,30.0,30.0,70.0,70.0,,,,,-30.3,False,0,-0.6,False,0,"{'eps_growth_yoy': -30.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.5}","{'revenue_growth_yoy': -0.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -16.9, 'rs_6m': -24.5}","{'roe_pct': 26.9, 'debt_to_equity': 0.67, 'current_ratio': 0.82, 'operating_margin_pct': 24.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 33.5}",50.9,21516466176,Technology,Information Technology Services,,,False,75.38,-32.5,0.0,False,67.94,81.5,53.0,21.0,buy,33.5,37.65,-26.0,30.1,-40.9,5.02,2.56,2.87,46.2,1.42,1.73,True,-3.94,22.3,-3.8,30.0,2026-05-08,False,False,7.0,NEUTRAL,7.82,473.7,,2026-04-08T11:05:29.575592,IBEX35,51.0,6.0,5.0,3.0,0.0,4.19,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, moderate debt, and upside potential validated by multiple analysts",49.39,46.99,70.78,4.86,43.31,BUY ON PULLBACK - Wait for 2-5% dip
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,53.5,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 14.7},{},"{'rs_3m': -13.6, 'rs_6m': -19.9}","{'roe_pct': 40.7, 'debt_to_equity': 2.19, 'current_ratio': 0.64, 'operating_margin_pct': 22.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 31.7}",875.6,8079992832,Technology,Software - Application,,,False,1335.0,-34.4,1.0,False,1152.79,1600.0,850.0,19.0,buy,31.7,13.26,-98.5,6.25,-99.3,5.83,0.51,2.55,56.4,0.22,2.1,,,,11.8,43.0,2026-05-21,False,False,6.0,NEUTRAL,5.76,374.3,0.9,2026-04-08T11:02:01.264646,FTSE100,50.4,6.0,5.0,0.0,3.0,3.96,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, upside potential of 31.7% supported by 19 analysts",833.78,781.45,1233.93,6.28,47.99,BUY ON PULLBACK - Wait for 2-5% dip
REL.L,RELX PLC ORD 14 51/116P,51.0,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.5},{},"{'rs_3m': -14.4, 'rs_6m': -24.1}","{'roe_pct': 70.5, 'debt_to_equity': 3.04, 'current_ratio': 0.49, 'operating_margin_pct': 31.4}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 43.7}",2552.0,45743157248,Industrials,Specialty Business Services,,,False,4183.0,-39.0,1.0,False,3667.17,5070.0,3000.0,15.0,strong_buy,43.7,31.45,-98.8,19.04,-99.3,4.72,1.21,2.67,57.4,0.68,1.98,,,,17.0,106.0,2026-07-23,False,False,7.0,NEUTRAL,5.71,1901.3,0.96,2026-04-08T11:00:43.004639,FTSE100,51.4,3.0,5.0,0.0,5.0,5.46,3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, upside potential of 43.7% supported by 15 analysts",2523.5,2321.62,3797.42,8.0,50.48,BUY ON PULLBACK - Wait for 2-5% dip
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,61.9,⭐⭐ GOOD,🟡 Good,50.0,60.0,80.5,65.0,60.0,,,,,-20.2,False,0,14.1,False,0,"{'eps_growth_yoy': -20.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 17.4}","{'revenue_growth_yoy': 14.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 12.3, 'rs_6m': 20.7}","{'roe_pct': 22.8, 'debt_to_equity': 0.61, 'current_ratio': 0.94, 'operating_margin_pct': 21.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.4}",15284.0,237029359616,Healthcare,Drug Manufacturers - General,,,False,15732.0,-2.8,7.0,True,16262.76,20136.35,11264.08,21.0,buy,6.4,215.08,-98.6,149.1,-99.0,3.32,5.07,1.54,47.9,2.36,2.12,False,,8.3,53.9,21.0,2026-04-29,False,True,8.0,STRONG,5.47,95.3,0.32,2026-04-08T11:00:01.868186,FTSE100,49.8,3.0,5.0,0.0,5.0,0.8,-3.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, moderate debt, and significant growth, supported by analyst consensus",15234.84,14016.05,18385.21,8.0,20.68,BUY NOW - At target entry price
FBK.MI,FINECOBANK,61.0,⭐⭐ GOOD,🟡 Good,60.0,50.0,64.0,75.0,65.0,,,,,,,0,,,0,{'profit_margin_pct': 49.4},{},"{'rs_3m': -4.7, 'rs_6m': 13.1}","{'roe_pct': 26.2, 'operating_margin_pct': 72.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 21.1}",20.43,12499466240,Financial Services,Banks - Regional,,,False,23.07,-11.4,5.0,False,24.73,28.5,20.7,16.0,buy,21.1,,,10.6,-48.1,,,4.08,69.8,0.79,3.38,,,,2.5,29.0,2026-05-07,False,False,3.0,NEUTRAL,,,6.9,2026-04-08T11:09:27.444071,FTSEMIB,49.4,0.0,8.0,0.0,1.0,2.64,1.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, no debt, and analyst validation with a realistic upside",21.0,19.32,26.44,8.0,25.88,BUY NOW - At target entry price
BBVA.MC,BANCO BILBAO VIZCAYA ARGENTARIA,63.4,⭐⭐ GOOD,🟡 Good,65.0,50.0,74.5,70.0,60.0,,,,,-6.1,True,1,5.1,False,0,"{'eps_growth_yoy': -6.1, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 33.2}","{'revenue_growth_yoy': 5.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 4.8, 'rs_6m': 26.7}","{'roe_pct': 18.3, 'operating_margin_pct': 50.9}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.3}",19.505,109891272704,Financial Services,Banks - Diversified,,,False,22.33,-12.7,7.0,True,21.12,24.9,11.7,23.0,buy,8.3,,,17.6,-9.8,,,4.9,41.5,0.92,4.87,True,-1.41,,3.8,22.0,2026-04-30,False,False,4.0,NEUTRAL,,,1.64,2026-04-08T11:05:06.046332,IBEX35,49.4,0.0,8.0,3.0,1.0,1.04,0.0,0.0,CONFIRMED_UPTREND,BUY,80,"Strong fundamentals with high ROE and margin, low debt, and positive growth, supported by analyst consensus",19.53,17.96,24.66,8.0,26.27,BUY NOW - At target entry price
