ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,market,value_score,fcf_bonus,dividend_bonus,buyback_bonus,revision_bonus,risk_reward_ratio,rr_bonus,eu_insider_bonus,market_regime
PST.MI,POSTE ITALIANE,62.4,⭐⭐ GOOD,🟡 Good,100.0,30.0,60.5,45.0,60.0,,,,,44.7,True,1,-68.2,False,0,"{'eps_growth_yoy': 44.7, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 15.8}","{'revenue_growth_yoy': -68.2, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 0.3, 'rs_6m': 9.6}","{'roe_pct': 17.4, 'debt_to_equity': 5.33, 'current_ratio': 0.5, 'operating_margin_pct': 21.5}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.5}",21.47,27784667136,Industrials,Conglomerates,,,False,23.87,-10.1,6.0,False,22.86,26.5,16.5,14.0,buy,6.5,70.34,227.6,18.98,-11.6,15.89,3.41,5.99,67.2,1.25,5.77,False,,35.3,7.8,29.0,2026-05-07,False,False,4.0,NEUTRAL,,,0.96,2026-04-08T11:09:31.327278,FTSEMIB,53.0,8.0,8.0,0.0,3.0,0.81,-3.0,0.0,CONFIRMED_UPTREND
FME.DE,Fresenius Medical Care AG     I,71.7,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,70.0,54.5,65.0,50.0,,,,,116.3,False,0,3.9,True,2,"{'eps_growth_yoy': 116.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 5.0}","{'revenue_growth_yoy': 3.9, 'revenue_accelerating': True, 'rev_accel_quarters': 2}","{'rs_3m': 6.7, 'rs_6m': -11.5}","{'roe_pct': 7.9, 'debt_to_equity': 0.76, 'current_ratio': 1.26, 'operating_margin_pct': 11.7}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 12.1}",39.89,11562073088,Healthcare,Medical Care Facilities,,,False,54.02,-26.2,1.0,False,44.71,67.0,32.0,17.0,hold,12.1,236.33,492.5,100.8,152.7,13.46,5.57,3.85,42.9,1.49,2.98,True,-3.76,4.9,168.0,27.0,2026-05-05,False,False,8.0,STRONG,9.05,23.3,0.02,2026-04-08T10:59:03.460167,DAX40,52.7,8.0,8.0,3.0,5.0,1.51,0.0,0.0,CONFIRMED_UPTREND
URW.PA,UNIBAIL-RODAMCO-WESTFIELD,61.1,⭐⭐ GOOD,🟡 Good,60.0,50.0,74.5,65.0,60.0,,,,,,,0,,,0,{'profit_margin_pct': 35.8},{},"{'rs_3m': 10.2, 'rs_6m': 16.6}","{'roe_pct': 7.1, 'debt_to_equity': 1.08, 'current_ratio': 1.27, 'operating_margin_pct': 62.3}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 12.0}",100.65,14509889536,Real Estate,REIT - Retail,,,False,106.65,-5.6,7.0,True,112.74,129.0,100.0,14.0,buy,12.0,462.84,359.9,261.6,159.9,10.84,10.91,4.57,40.1,4.5,,,,,638.3,113.0,2026-07-30,False,False,8.0,STRONG,6.95,285.6,0.02,2026-04-08T11:04:28.063558,CAC40,52.4,8.0,8.0,0.0,5.0,1.5,0.0,0.0,CONFIRMED_UPTREND
MUV2.DE,MUENCHENER RUECKVERS.-GES. AG N,47.4,⚠️ WEAK,🔴 Weak,45.0,30.0,54.5,70.0,50.0,,,,,-13.5,False,0,-18.5,False,0,"{'eps_growth_yoy': -13.5, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 9.8}","{'revenue_growth_yoy': -18.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 6.6, 'rs_6m': -0.1}","{'roe_pct': 18.5, 'debt_to_equity': 0.25, 'current_ratio': 0.65, 'operating_margin_pct': 10.7}","{'days_to_earnings': 'N/A', 'recommendation': 'hold', 'analyst_upside_pct': 7.1}",544.2,69636857856,Financial Services,Insurance - Reinsurance,,,False,615.8,-11.6,3.0,False,582.97,665.0,480.0,17.0,hold,7.1,693.85,27.5,471.4,-13.4,8.66,47.15,4.4,42.4,24.0,3.58,,,24.4,-4.2,34.0,2026-05-12,False,False,4.0,NEUTRAL,22.92,,,2026-04-08T10:58:29.423434,DAX40,52.0,8.0,8.0,0.0,0.0,0.89,-3.0,15.0,CONFIRMED_UPTREND
ADS.DE,adidas AG                     N,44.5,⚠️ WEAK,🔴 Weak,45.0,30.0,30.0,70.0,70.0,,,,,-82.8,False,0,-1.3,False,0,"{'eps_growth_yoy': -82.8, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 5.4}","{'revenue_growth_yoy': -1.3, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -11.5, 'rs_6m': -24.6}","{'roe_pct': 23.0, 'debt_to_equity': 0.91, 'current_ratio': 1.32, 'operating_margin_pct': 3.0}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 42.6}",139.1,24669237248,Consumer Cyclical,Footwear & Accessories,,,False,227.7,-38.9,0.0,False,198.35,268.0,140.0,28.0,buy,42.6,28.55,-79.5,74.6,-46.4,1.39,1.94,2.08,26.8,2.8,1.3,True,-0.17,6.8,,21.0,2026-04-29,False,True,7.0,NEUTRAL,7.46,27.4,0.49,2026-04-08T10:58:40.830672,DAX40,51.8,0.0,5.0,3.0,0.0,5.32,3.0,15.0,CONFIRMED_UPTREND
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,79.2,⭐⭐⭐ EXCELLENT,🟢 Excellent,95.0,80.0,74.5,65.0,60.0,,,,,23.6,True,1,23.0,True,1,"{'eps_growth_yoy': 23.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 25.0}","{'revenue_growth_yoy': 23.0, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 7.7, 'rs_6m': 20.9}","{'roe_pct': 10.1, 'operating_margin_pct': 40.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 8.6}",103.3,60426665984,Financial Services,Banks - Regional,,,False,114.6,-9.9,7.0,True,112.17,130.0,53.0,18.0,buy,8.6,,,2.1,-98.0,,,3.73,48.3,0.04,4.19,,,,102.5,21.0,2026-04-29,False,True,6.0,NEUTRAL,,,0.06,2026-04-08T11:01:42.833151,FTSE100,51.7,0.0,8.0,0.0,5.0,1.08,0.0,0.0,CONFIRMED_UPTREND
ASML.AS,ASML HOLDING,86.2,🏆 ELITE,🟢 Elite,95.0,80.0,85.0,95.0,65.0,,,,,20.6,True,1,25.5,True,1,"{'eps_growth_yoy': 20.6, 'positive_quarters': 4, 'earnings_accelerating': True, 'eps_accel_quarters': 1, 'profit_margin_pct': 29.4}","{'revenue_growth_yoy': 25.5, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 22.6, 'rs_6m': 42.1}","{'roe_pct': 50.5, 'debt_to_equity': 0.24, 'current_ratio': 1.26, 'operating_margin_pct': 35.3}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 18.1}",1195.6,464069361664,Technology,Semiconductor Equipment & Materials,,,False,1312.8,-8.9,7.0,True,1411.79,1700.0,940.0,36.0,strong_buy,18.1,494.71,-58.6,247.3,-79.3,2.34,28.16,0.93,26.5,10.8,0.85,True,-1.28,51.7,7.2,7.0,2026-04-15,True,False,8.0,STRONG,2.74,79.0,4.38,2026-04-08T11:06:17.293308,AEX25,51.5,0.0,0.0,3.0,3.0,2.26,1.0,0.0,CONFIRMED_UPTREND
REL.L,RELX PLC ORD 14 51/116P,51.0,⭐ AVERAGE,🟡 Average,60.0,50.0,30.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 21.5},{},"{'rs_3m': -14.4, 'rs_6m': -24.1}","{'roe_pct': 70.5, 'debt_to_equity': 3.04, 'current_ratio': 0.49, 'operating_margin_pct': 31.4}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 43.7}",2552.0,45743157248,Industrials,Specialty Business Services,,,False,4183.0,-39.0,1.0,False,3667.17,5070.0,3000.0,15.0,strong_buy,43.7,31.45,-98.8,19.04,-99.3,4.72,1.21,2.67,57.4,0.68,1.98,,,,17.0,106.0,2026-07-23,False,False,7.0,NEUTRAL,5.71,1901.3,0.96,2026-04-08T11:00:43.004639,FTSE100,51.4,3.0,5.0,0.0,5.0,5.46,3.0,0.0,CONFIRMED_UPTREND
SHL.DE,Siemens Healthineers AG       N,48.5,⚠️ WEAK,🔴 Weak,45.0,30.0,50.0,70.0,70.0,,,,,-5.3,False,0,-1.5,False,0,"{'eps_growth_yoy': -5.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 9.1}","{'revenue_growth_yoy': -1.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -12.7, 'rs_6m': -17.8}","{'roe_pct': 11.2, 'debt_to_equity': 0.79, 'current_ratio': 1.04, 'operating_margin_pct': 12.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 45.2}",37.66,42058838016,Healthcare,Medical Devices,,,False,50.0,-24.7,1.0,False,54.67,63.0,42.0,20.0,buy,45.2,27.82,-26.1,18.9,-49.8,5.02,1.89,2.78,50.3,1.0,1.8,True,-0.5,7.5,-4.8,29.0,2026-05-07,False,False,,,,,,2026-04-08T10:59:40.868885,DAX40,51.4,6.0,5.0,3.0,0.0,5.65,3.0,15.0,CONFIRMED_UPTREND
PGHN.SW,PARTNERS GROUP N,60.2,⭐⭐ GOOD,🟡 Good,60.0,50.0,50.0,85.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 49.3},{},"{'rs_3m': -6.1, 'rs_6m': -13.2}","{'roe_pct': 54.8, 'debt_to_equity': 1.14, 'current_ratio': 1.67, 'operating_margin_pct': 60.7}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 35.6}",897.2,23132628992,Financial Services,Asset Management,,,False,1205.0,-25.5,1.0,False,1216.83,1330.0,930.0,12.0,buy,35.6,1070.36,19.3,533.17,-40.6,5.81,52.13,5.31,86.7,46.0,3.29,,,,7.7,146.0,2026-09-01,False,False,7.0,NEUTRAL,6.56,75.9,1.33,2026-04-08T11:08:26.054118,SMI20,51.1,6.0,0.0,0.0,3.0,4.45,3.0,0.0,CONFIRMED_UPTREND
AMS.MC,"AMADEUS IT GROUP, S.A.",47.5,⚠️ WEAK,🔴 Weak,55.0,30.0,30.0,70.0,70.0,,,,,-30.3,False,0,-0.6,False,0,"{'eps_growth_yoy': -30.3, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 20.5}","{'revenue_growth_yoy': -0.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -16.9, 'rs_6m': -24.5}","{'roe_pct': 26.9, 'debt_to_equity': 0.67, 'current_ratio': 0.82, 'operating_margin_pct': 24.1}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 33.5}",50.9,21516466176,Technology,Information Technology Services,,,False,75.38,-32.5,0.0,False,67.94,81.5,53.0,21.0,buy,33.5,37.65,-26.0,30.1,-40.9,5.02,2.56,2.87,46.2,1.42,1.73,True,-3.94,22.3,-3.8,30.0,2026-05-08,False,False,7.0,NEUTRAL,7.82,473.7,,2026-04-08T11:05:29.575592,IBEX35,51.0,6.0,5.0,3.0,0.0,4.19,3.0,0.0,CONFIRMED_UPTREND
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,53.5,⭐ AVERAGE,🟡 Average,55.0,50.0,50.0,50.0,70.0,,,,,,,0,,,0,{'profit_margin_pct': 14.7},{},"{'rs_3m': -13.6, 'rs_6m': -19.9}","{'roe_pct': 40.7, 'debt_to_equity': 2.19, 'current_ratio': 0.64, 'operating_margin_pct': 22.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 31.7}",875.6,8079992832,Technology,Software - Application,,,False,1335.0,-34.4,1.0,False,1152.79,1600.0,850.0,19.0,buy,31.7,13.26,-98.5,6.25,-99.3,5.83,0.51,2.55,56.4,0.22,2.1,,,,11.8,43.0,2026-05-21,False,False,6.0,NEUTRAL,5.76,374.3,0.9,2026-04-08T11:02:01.264646,FTSE100,50.4,6.0,5.0,0.0,3.0,3.96,3.0,0.0,CONFIRMED_UPTREND
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,61.9,⭐⭐ GOOD,🟡 Good,50.0,60.0,80.5,65.0,60.0,,,,,-20.2,False,0,14.1,False,0,"{'eps_growth_yoy': -20.2, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 17.4}","{'revenue_growth_yoy': 14.1, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 12.3, 'rs_6m': 20.7}","{'roe_pct': 22.8, 'debt_to_equity': 0.61, 'current_ratio': 0.94, 'operating_margin_pct': 21.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 6.4}",15284.0,237029359616,Healthcare,Drug Manufacturers - General,,,False,15732.0,-2.8,7.0,True,16262.76,20136.35,11264.08,21.0,buy,6.4,215.08,-98.6,149.1,-99.0,3.32,5.07,1.54,47.9,2.36,2.12,False,,8.3,53.9,21.0,2026-04-29,False,True,8.0,STRONG,5.47,95.3,0.32,2026-04-08T11:00:01.868186,FTSE100,49.8,3.0,5.0,0.0,5.0,0.8,-3.0,0.0,CONFIRMED_UPTREND
MRK.DE,MERCK KGAA                    I,49.5,⚠️ WEAK,🔴 Weak,50.0,30.0,50.0,70.0,65.0,,,,,-56.6,False,0,-0.6,False,0,"{'eps_growth_yoy': -56.6, 'positive_quarters': 4, 'earnings_accelerating': False, 'eps_accel_quarters': 0, 'profit_margin_pct': 12.4}","{'revenue_growth_yoy': -0.6, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -7.3, 'rs_6m': -5.5}","{'roe_pct': 8.9, 'debt_to_equity': 0.42, 'current_ratio': 1.46, 'operating_margin_pct': 17.6}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 25.7}",112.7,48999464960,Healthcare,Drug Manufacturers - Specialty & Generic,,,False,131.65,-14.4,3.0,False,141.67,179.0,112.0,15.0,buy,25.7,299.37,165.6,60.0,-46.8,5.37,20.35,2.0,36.7,2.2,1.32,False,,9.6,-52.2,35.0,2026-05-13,False,False,5.0,NEUTRAL,6.67,26.1,,2026-04-08T10:58:25.233423,DAX40,49.8,6.0,5.0,0.0,-3.0,3.21,3.0,15.0,CONFIRMED_UPTREND
