ticker,company_name,fundamental_score,tier,quality,earnings_quality_score,growth_acceleration_score,relative_strength_score,financial_health_score,catalyst_timing_score,rs_line_score,rs_line_percentile,rs_line_at_new_high,rs_line_trend,eps_growth_yoy,eps_accelerating,eps_accel_quarters,rev_growth_yoy,rev_accelerating,rev_accel_quarters,earnings_details,growth_details,rs_details,health_details,catalyst_details,current_price,market_cap,sector,industry,short_percent_float,short_ratio,short_squeeze_potential,fifty_two_week_high,proximity_to_52w_high,trend_template_score,trend_template_pass,target_price_analyst,target_price_analyst_high,target_price_analyst_low,analyst_count,analyst_recommendation,analyst_upside_pct,target_price_dcf,target_price_dcf_upside_pct,target_price_pe,target_price_pe_upside_pct,fcf_yield_pct,fcf_per_share,dividend_yield_pct,payout_ratio_pct,dividend_rate,five_yr_avg_dividend_yield_pct,buyback_active,shares_change_pct,interest_coverage,analyst_revision_momentum,days_to_earnings,earnings_date,earnings_warning,earnings_catalyst,piotroski_score,piotroski_label,ebit_ev_yield,roic_greenblatt,peg_ratio,analyzed_at,micro_cap_score,micro_cap_quality,ai_verdict,ai_confidence,ai_reasoning
MSGM,Motorsport Games Inc.,77.1,⭐⭐⭐ EXCELLENT,🟢 Excellent,60.0,90.0,83.0,100.0,50.0,80,85.5,False,up,,,0,118.8,True,1,{'profit_margin_pct': 61.3},"{'revenue_growth_yoy': 118.8, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 40.9, 'rs_6m': 60.0, 'rs_line_percentile': 85.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 80}","{'roe_pct': 155.4, 'debt_to_equity': 0.0, 'current_ratio': 2.25, 'operating_margin_pct': 48.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",4.165,21151748,Communication Services,Electronic Gaming & Multimedia,1.1,0.2,False,5.409,-23.0,8,True,,,,,none,,4.24,1.8,14.3,243.3,2.4,0.1,,,,,False,,352.3,,35.0,2026-05-07,False,False,5,NEUTRAL,39.39,154.7,,2026-04-02T17:41:26.446606,61.7,BUENA,,,
APPS,"Digital Turbine, Inc.",51.5,⭐ AVERAGE,🟡 Average,50.0,80.0,15.0,50.0,60.0,15,0.0,False,down,,,0,27.1,True,1,{'profit_margin_pct': -9.1},"{'revenue_growth_yoy': 27.1, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -35.9, 'rs_6m': -53.7, 'rs_line_percentile': 0.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': -27.5, 'debt_to_equity': 1.86, 'current_ratio': 1.1, 'operating_margin_pct': 14.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 203.3}",2.885,345911328,Technology,Software - Application,11.5,5.7,True,8.28,-65.2,1,False,8.75,10.0,7.5,2.0,none,203.3,6.21,115.3,,,9.87,0.28,,,,,False,,-0.1,,74.0,2026-06-15,False,False,4,NEUTRAL,-7.97,-70.1,0.08,2026-04-02T17:37:47.043728,60.8,BUENA,,,
RMAX,"RE/MAX Holdings, Inc.",43.8,⚠️ WEAK,🔴 Weak,50.0,30.0,24.0,70.0,60.0,15,0.9,False,down,,,0,-4.5,False,0,{'profit_margin_pct': 2.8},"{'revenue_growth_yoy': -4.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -19.7, 'rs_6m': -37.2, 'rs_line_percentile': 0.9, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'current_ratio': 1.69, 'operating_margin_pct': 24.0}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 59.0}",5.66,114006288,Real Estate,Real Estate Services,4.9,2.9,False,10.32,-45.2,0,False,9.0,9.0,9.0,2.0,none,59.0,24.06,325.1,4.0,-29.3,28.89,1.64,,,,3.98,False,,1.6,-37.9,28.0,2026-04-30,False,False,7,NEUTRAL,,43.9,,2026-04-02T17:41:21.224967,58.8,BUENA,,,
NEON,Neonode Inc.,55.5,⭐ AVERAGE,🟡 Average,60.0,60.0,24.0,85.0,50.0,15,0.3,False,down,,,0,1.4,True,1,{'profit_margin_pct': 411.9},"{'revenue_growth_yoy': 1.4, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -19.1, 'rs_6m': -60.6, 'rs_line_percentile': 0.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 39.1, 'debt_to_equity': 0.02, 'current_ratio': 12.05, 'operating_margin_pct': -454.6}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",1.4017,23524624,Technology,Electronic Components,6.3,7.9,False,29.9,-95.3,0,False,,,,,none,,11.3,706.2,4.8,242.4,54.78,0.77,,,,,False,,397.4,,40.0,2026-05-13,False,False,5,NEUTRAL,,29.8,,2026-04-02T17:36:27.980061,57.4,BUENA,,,
POWW,Outdoor Holding Company,60.8,⭐⭐ GOOD,🟡 Good,50.0,60.0,75.0,65.0,60.0,60,68.2,False,up,,,0,,True,1,{'profit_margin_pct': -32.0},"{'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 25.7, 'rs_6m': 41.9, 'rs_line_percentile': 68.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 60}","{'roe_pct': -10.9, 'debt_to_equity': 0.05, 'current_ratio': 4.0, 'operating_margin_pct': 14.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 30.2}",2.035,238682560,Industrials,Aerospace & Defense,2.8,3.4,False,2.23,-8.7,7,True,2.65,3.0,2.3,2.0,none,30.2,10.42,412.0,,,12.07,0.25,,,,,True,-0.16,-10.4,,73.0,2026-06-15,False,False,5,NEUTRAL,-33.01,-327.0,,2026-04-02T17:39:52.954875,57.4,BUENA,,,
CZWI,"Citizens Community Bancorp, Inc",65.7,⭐⭐ GOOD,🟡 Good,60.0,60.0,88.3,60.0,60.0,100,95.5,True,up,,,0,10.9,False,0,{'profit_margin_pct': 23.9},"{'revenue_growth_yoy': 10.9, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 19.2, 'rs_6m': 29.3, 'rs_line_percentile': 95.5, 'rs_line_at_new_high': True, 'rs_line_trend': 'up', 'rs_line_score': 100}","{'roe_pct': 7.9, 'operating_margin_pct': 34.7}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 6.2}",20.005,192620368,Financial Services,Banks - Regional,1.5,2.8,False,20.44,-2.1,8,True,21.25,21.5,21.0,2.0,strong_buy,6.2,,,43.8,118.9,,,2.31,24.7,0.47,2.2,True,-3.24,,32.1,24.0,2026-04-27,False,False,6,NEUTRAL,,,0.15,2026-04-02T17:40:16.394059,57.0,BUENA,,,
RILY,"BRC Group Holdings, Inc.",65.3,⭐⭐ GOOD,🟡 Good,60.0,80.0,66.6,60.0,50.0,60,57.3,False,down,,,0,40.5,False,0,{'profit_margin_pct': 26.3},"{'revenue_growth_yoy': 40.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': 35.1, 'rs_6m': 10.0, 'rs_line_percentile': 57.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'current_ratio': 3.33, 'operating_margin_pct': 18.2}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",6.795,236454912,Financial Services,Financial Conglomerates,21.8,7.4,True,10.97,-38.1,5,False,,,,,none,,,,74.8,1000.8,,,,,,11.95,False,,3.5,,39.0,2026-05-11,False,False,5,NEUTRAL,26.23,103.9,,2026-04-02T17:42:03.820120,55.7,BUENA,,,
HLIT,Harmonic Inc.,47.2,⚠️ WEAK,🔴 Weak,50.0,30.0,36.0,70.0,70.0,15,11.6,False,down,,,0,-139.8,False,0,{'profit_margin_pct': -12.0},"{'revenue_growth_yoy': -139.8, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -4.7, 'rs_6m': -12.0, 'rs_line_percentile': 11.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 0.3, 'debt_to_equity': 0.35, 'current_ratio': 2.5, 'operating_margin_pct': 3.8}","{'days_to_earnings': 'N/A', 'recommendation': 'buy', 'analyst_upside_pct': 38.8}",9.16,1028054976,Technology,Communication Equipment,3.3,2.4,False,12.18,-24.8,3,False,12.71,17.0,8.0,7.0,buy,38.8,18.38,100.7,0.1,-98.9,13.4,1.25,,,,,True,-7.69,3.3,,25.0,2026-04-27,False,False,3,NEUTRAL,1.25,3.8,0.44,2026-04-02T17:36:32.829828,55.5,BUENA,,,
SPOK,"Spok Holdings, Inc.",48.8,⚠️ WEAK,🔴 Weak,55.0,40.0,24.0,80.0,55.0,15,1.1,False,down,,,0,-6.7,True,1,{'profit_margin_pct': 11.4},"{'revenue_growth_yoy': -6.7, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -8.7, 'rs_6m': -26.3, 'rs_line_percentile': 1.1, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 10.5, 'debt_to_equity': 0.05, 'current_ratio': 1.18, 'operating_margin_pct': 12.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 26.5}",11.0636,229352320,Healthcare,Health Information Services,2.8,2.5,False,19.31,-42.7,0,False,14.0,14.0,14.0,1.0,none,26.5,12.85,16.1,7.5,-32.2,7.89,0.87,11.29,166.7,1.25,8.79,True,-1.24,58.1,-13.6,27.0,2026-04-29,False,False,5,NEUTRAL,9.53,96.2,,2026-04-02T17:36:42.665920,54.7,MODERADA,,,
CERS,Cerus Corporation,62.2,⭐⭐ GOOD,🟡 Good,50.0,90.0,56.0,50.0,60.0,35,46.3,False,down,,,0,33.6,True,1,{'profit_margin_pct': -7.6},"{'revenue_growth_yoy': 33.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -2.3, 'rs_6m': 24.0, 'rs_line_percentile': 46.3, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': -25.7, 'debt_to_equity': 1.49, 'current_ratio': 1.73, 'operating_margin_pct': -1.1}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 170.3}",1.85,355517792,Healthcare,Medical Devices,7.1,5.5,False,2.96,-37.5,4,False,5.0,5.0,5.0,2.0,none,170.3,0.3,-83.8,,,0.7,0.01,,,,,False,,-0.8,,28.0,2026-04-30,False,False,5,NEUTRAL,-1.85,-7.5,,2026-04-02T17:39:22.849932,54.2,MODERADA,,,
BYRN,"Byrna Technologies, Inc.",58.5,⭐ AVERAGE,🟡 Average,50.0,90.0,15.0,80.0,60.0,15,0.5,False,down,,,0,34.6,True,1,{'profit_margin_pct': 8.2},"{'revenue_growth_yoy': 34.6, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -41.5, 'rs_6m': -57.4, 'rs_line_percentile': 0.5, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'roe_pct': 16.1, 'debt_to_equity': 0.04, 'current_ratio': 3.73, 'operating_margin_pct': 11.2}","{'days_to_earnings': 'N/A', 'recommendation': 'none', 'analyst_upside_pct': 216.9}",9.15,207573744,Industrials,Aerospace & Defense,18.6,8.6,True,34.3,-73.3,0,False,29.0,36.0,18.0,5.0,none,216.9,,,4.0,-56.3,-7.98,-0.73,,,,,True,-0.5,100.9,-32.4,6.0,2026-04-09,True,False,4,NEUTRAL,6.04,20.5,,2026-04-02T17:36:58.954188,53.4,MODERADA,,,
DTST,Data Storage Corporation,46.0,⚠️ WEAK,🔴 Weak,60.0,30.0,36.0,55.0,50.0,15,19.8,False,flat,,,0,-93.5,False,0,{'profit_margin_pct': 64.1},"{'revenue_growth_yoy': -93.5, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -18.1, 'rs_6m': -7.0, 'rs_line_percentile': 19.8, 'rs_line_at_new_high': False, 'rs_line_trend': 'flat', 'rs_line_score': 15}","{'roe_pct': 4.1, 'current_ratio': 5.64, 'operating_margin_pct': -263.5}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",3.98,29843464,Technology,Information Technology Services,0.7,2.6,False,5.44,-26.8,3,False,,,,,none,,143.41,3503.3,5.4,35.7,24.56,3.38,,,,,False,,-12.9,13729.8,4.0,2026-04-07,True,False,6,NEUTRAL,,4.2,,2026-04-02T17:36:19.954686,53.2,MODERADA,,,
CLPR,Clipper Realty Inc.,47.0,⚠️ WEAK,🔴 Weak,50.0,40.0,36.0,65.0,50.0,15,4.6,False,down,,,0,-5.9,True,1,{'profit_margin_pct': -13.0},"{'revenue_growth_yoy': -5.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': -11.3, 'rs_6m': -17.8, 'rs_line_percentile': 4.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 15}","{'current_ratio': 4.42, 'operating_margin_pct': 21.7}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",2.93,124419360,Real Estate,REIT - Residential,3.2,6.5,False,4.61,-36.4,0,False,,,,,none,,11.31,286.0,,,9.97,0.77,12.88,,0.38,7.17,False,,0.0,,43.0,2026-05-15,False,False,5,NEUTRAL,0.06,,,2026-04-02T17:40:53.987462,51.4,MODERADA,,,
FSEA,"First Seacoast Bancorp, Inc.",51.5,⭐ AVERAGE,🟡 Average,50.0,60.0,52.4,40.0,50.0,35,47.6,False,up,,,0,14.4,False,0,{'profit_margin_pct': -5.5},"{'revenue_growth_yoy': 14.4, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -0.8, 'rs_6m': 11.2, 'rs_line_percentile': 47.6, 'rs_line_at_new_high': False, 'rs_line_trend': 'up', 'rs_line_score': 35}","{'roe_pct': -1.3, 'operating_margin_pct': -0.3}","{'days_to_earnings': 'N/A', 'recommendation': 'none'}",12.585,59108812,Financial Services,Banks - Regional,0.1,3.2,False,15.0,-16.1,5,False,,,,,none,,,,,,,,,,,,True,-1.66,,,,,False,False,5,NEUTRAL,,,,2026-04-02T17:40:21.320202,48.7,MODERADA,,,
PESI,Perma-Fix Environmental Service,57.2,⭐ AVERAGE,🟡 Average,50.0,60.0,52.4,65.0,70.0,35,48.0,False,down,,,0,12.9,False,0,{'profit_margin_pct': -22.4},"{'revenue_growth_yoy': 12.9, 'revenue_accelerating': False, 'rev_accel_quarters': 0}","{'rs_3m': -2.7, 'rs_6m': 19.6, 'rs_line_percentile': 48.0, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 35}","{'roe_pct': -19.0, 'debt_to_equity': 0.09, 'current_ratio': 1.61, 'operating_margin_pct': -20.6}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 48.5}",11.45,212369328,Industrials,Waste Management,7.0,9.6,False,16.5,-30.6,4,False,17.0,17.0,17.0,1.0,strong_buy,48.5,,,,,-5.72,-0.66,,,,,True,-0.0,-45.2,,34.0,2026-05-07,False,False,6,NEUTRAL,-5.2,-26.2,0.01,2026-04-02T17:39:44.558495,48.0,MODERADA,,,
ARDX,"Ardelyx, Inc.",64.3,⭐⭐ GOOD,🟡 Good,50.0,90.0,65.1,45.0,70.0,60,56.2,False,down,,,0,68.9,True,1,{'profit_margin_pct': -15.1},"{'revenue_growth_yoy': 68.9, 'revenue_accelerating': True, 'rev_accel_quarters': 1}","{'rs_3m': 0.2, 'rs_6m': 14.4, 'rs_line_percentile': 56.2, 'rs_line_at_new_high': False, 'rs_line_trend': 'down', 'rs_line_score': 60}","{'roe_pct': -36.2, 'debt_to_equity': 1.4, 'current_ratio': 4.32, 'operating_margin_pct': 4.1}","{'days_to_earnings': 'N/A', 'recommendation': 'strong_buy', 'analyst_upside_pct': 171.7}",5.925,1453091072,Healthcare,Biotechnology,10.0,5.0,True,8.4,-29.5,4,False,16.1,19.0,13.0,10.0,strong_buy,171.7,0.5,-91.6,,,0.46,0.03,,,,,False,,-1.1,,28.0,2026-04-30,False,False,3,NEUTRAL,-2.2,-10.7,0.0,2026-04-02T17:38:51.704867,46.8,MODERADA,,,
